tiempo,VELOCIDAD,ACELERACION
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
241,3,78,-0,4975
242,3,26,-0,600833333333333
243,2,59,-0,728333333333333
244,1,9,-0,461666666666667
245,1,64,-0,36
246,1,2,-0,215833333333333
247,1,31,0,385
248,1,85,0,4925
249,2,22,0,343333333333333
250,2,57,0,3875
251,2,95,0,205833333333334
252,3,04,0,308333333333333
253,3,51,0,135
254,3,35,0,105
255,3,81,0,4675
256,4,18,0,343333333333333
257,4,54,0,455833333333334
258,5,07,0,48
259,5,46,0,345
260,5,78,0,305
261,6,08,0,311666666666667
262,6,37,0,2025
263,6,44,-0,0858333333333333
264,6,23,-0,305833333333333
265,5,99,0,143333333333333
266,6,44,0,2625
267,6,4,-0,113333333333333
268,6,36,0,21
269,6,71,0,0358333333333335
270,6,4,-0,273333333333333
271,6,29,-0,0625000000000001
272,6,28,0,119166666666667
273,6,5,0,256666666666667
274,6,65,-0,205
275,6,17,-0,319166666666667
276,6,1,-0,135
277,5,93,0,1325
278,6,35,0,4425
279,6,58,-0,0949999999999995
280,5,99,-1,31166666666667
281,4,19,-1,655
282,2,97,-0,8625
283,2,28,-0,99
284,1,06,-0,8075
285,0,79,-0,0966666666666667
286,0,74,0,0933333333333333
287,0,88,-0,0658333333333333
288,0,66,-0,025
289,0,94,0,470833333333333
290,1,52,0,675
291,2,11,0,124166666666667
292,1,92,0,1725
293,2,65,1,0625
294,3,77,0,800833333333333
295,4,16,0,2125
296,4,39,0,480833333333333
297,5,06,0,413333333333334
298,5,2,0,2875
299,5,68,0,41
300,5,9,0,0150000000000003
301,5,74,-0,196666666666667
302,5,5,-0,51
303,4,84,-0,366666666666667
304,4,82,0,0125000000000005
305,4,7,-0,3175
306,4,23,-0,315
307,3,93,-0,959166666666667
308,2,44,-1,13833333333333
309,1,89,-0,369166666666667
310,1,57,-0,184166666666667
311,1,4,-0,4325
312,0,73,-0,670833333333333
313,0,36,0,214166666666667
314,1,3,1,77083333333333
315,3,39,1,31333333333333
316,3,72,0,114166666666666
317,3,96,0,3875
318,4,49,0,483333333333334
319,4,9,0,505833333333333
320,5,44,0,283333333333333
321,5,49,0,188333333333333
322,5,81,0,0766666666666664
323,5,6,-0,238333333333333
324,5,4,-0,235
325,5,07,-0,441666666666667
326,4,39,-1,18583333333333
327,2,82,-1,55416666666667
328,1,63,-0,541666666666667
329,1,64,-0,0283333333333334
330,1,45,0,0708333333333334
331,1,72,-0,065
332,1,42,0,245
333,2,18,0,460833333333333
334,2,19,0,0600000000000001
335,2,35,-0,0633333333333333
336,2,06,-0,226666666666667
337,1,9,-0,411666666666667
338,1,31,-0,405833333333333
339,1,29,0,445833333333333
340,2,05,0,669166666666667
341,2,47,0,295833333333333
342,2,72,0,329166666666667
343,3,1,0,186666666666667
344,3,14,0,215
345,3,59,0,523333333333333
346,4,06,0,2775
347,4,18,0,224166666666667
348,4,53,0,235833333333334
349,4,66,0,2675
350,5,07,0,379166666666666
351,5,29,-0,0958333333333335
352,5,02,-0,0366666666666665
353,5,41,1,4075
354,6,47,-3,18833333333333
355,0,-3,8625
356,0,0,539166666666667
357,0,0
358,0,-0,375833333333333
359,0,2,66916666666667
360,4,51,2,41
361,4,05,-0,946666666666667
362,3,48,-0,460833333333333
363,3,12,-0,446666666666667
364,2,6,-0,419166666666666
365,2,37,-0,00666666666666689
366,2,51,0,104166666666667
367,2,48,-0,1175
368,2,23,-0,530833333333333
369,1,54,-0,493333333333333
370,1,36,0,00166666666666659
371,1,44,-0,0491666666666667
372,1,41,0,5375
373,2,53,1,28
374,3,63,0,658333333333333
375,3,84,0,0866666666666668
376,3,99,0,24
377,4,37,0,545833333333333
378,4,99,0,495833333333333
379,5,29,0,18
380,5,4,0,100833333333333
381,5,49,-0,0433333333333335
382,5,38,0,1125
383,5,65,-0,00333333333333341
384,5,33,-0,324166666666667
385,5,13,-0,0916666666666666
386,5,11,-0,0549999999999996
387,4,99,-0,146666666666667
388,4,87,-0,00666666666666704
389,4,97,0,133333333333333
390,5,03,-0,0966666666666667
391,4,67,-0,71
392,3,63,-1,305
393,2,29,-1,03916666666667
394,1,65,-0,453333333333333
395,1,3,-0,245833333333333
396,1,15,0,000833333333333279
397,1,24,-0,045
398,1,16,0,3125
399,1,92,0,916666666666667
400,2,84,0,975833333333333
401,3,68,0,308333333333333
402,3,53,-0,0858333333333334
403,3,74,0,4825
404,4,35,0,379166666666667
405,4,45,0,118333333333334
406,4,66,0,193333333333333
407,4,8,0,0649999999999999
408,4,83,0,125
409,5,03,0,0841666666666667
410,5,0,0425
411,5,15,0,151666666666667
412,5,28,0,173333333333333
413,5,45,0,0150000000000001
414,5,32,-0,116666666666667
415,5,29,0,0816666666666668
416,5,4,-0,0983333333333333
417,5,11,-0,194166666666667
418,5,06,-0,0691666666666664
419,4,9,-0,285833333333333
420,4,55,-0,266666666666667
421,4,46,0,145833333333333
422,4,74,0,134166666666667
423,4,67,-0,0808333333333333
424,4,62,-0,104166666666667
425,4,47,-0,0916666666666669
426,4,39,-0,220833333333333
427,3,93,-0,754166666666666
428,2,95,-1,055
429,2,-0,650833333333333
430,1,61,-0,476666666666667
431,1,02,-0,429166666666667
432,0,83,0,015
433,0,91,-0,235833333333333
434,0,55,0,349166666666667
435,1,61,0,930833333333334
436,2,24,0,8825
437,3,26,0,459166666666667
438,3,16,0,0141666666666667
439,3,46,0,305
440,3,67,0,103333333333333
441,3,68,0,00166666666666685
442,3,68,-0,105
443,3,52,-0,0283333333333336
444,3,65,0,1875
445,3,78,-0,155
446,3,51,0,2875
447,4,26,0,363333333333333
448,4,04,-0,4375
449,3,66,-0,0366666666666666
450,3,96,0,285
451,4,06,-0,169166666666667
452,3,82,0,273333333333334
453,4,57,0,520833333333333
454,4,76,0,360833333333333
455,5,33,0,463333333333334
456,5,57,0,0383333333333336
457,5,49,-0,0141666666666667
458,5,58,0,0533333333333334
459,5,58,0,0225000000000001
460,5,65,0,1225
461,5,78,0,0308333333333333
462,5,71,-0,0441666666666666
463,5,69,-0,160833333333333
464,5,46,0,0299999999999999
465,5,71,0,0949999999999997
466,5,51,-0,395833333333333
467,4,95,-0,769166666666666
468,4,13,-0,525833333333333
469,3,9,-0,3125
470,3,42,-0,463333333333333
471,3,02,-0,334166666666667
472,2,65,-0,695
473,1,75,-0,481666666666667
474,1,6,-0,721666666666667
475,0,4,-0,678333333333333
476,0,51,0,5525
477,1,17,0,298333333333333
478,1,13,0,279166666666667
479,1,78,0,511666666666667
480,2,04,0,260833333333333
