tiempo;VELOCIDAD;ACELERACION;;
194;1,4;-0,2425;;0,97
195;0,93;0,110833333;;2,3
196;1,46;-0,196666667;;3,53
197;0,46;-0,929166667;;4,65
198;0;0,0175;;4,49
199;0,4;0,361666667;;4,05
200;0,77;1,045;;4,58
201;2,28;0,92;;4,64
202;2,5;0,391666667;;4,46
203;3,2;0,4775;;3,19
204;3,43;0,411666667;;1,75
205;3,99;0,248333333;;1,47
206;3,88;-0,206666667;;2,27
207;3,82;0,378333333;;3,79
208;4,55;0,569166667;;4,3
209;4,81;0,169166667;;4,51
210;4,97;0,1675;;5,36
211;5,15;0,15;;6,45
212;5,26;0,104166667;;7,52
213;5,33;-0,0575;;8,37
214;5,16;-0,18;;8,41
215;5,04;0,053333333;;8,81
216;5,1;-0,360833333;;9,36
217;4,21;-1,235833333;;9,85
218;2,85;-1,2675;;10
219;1,87;-0,604166667;;10,32
220;1,59;-0,188333333;;10,24
221;1,38;-0,21;;10,27
222;1,19;-0,151666667;;10,28
223;1,19;0,4275;;10,11
224;1,89;0,33;;9,77
225;1,85;0,200833333;;8,79
226;2,51;1,049166667;;7,43
227;3,74;1,010833333;;4,76
228;4,42;0,615833333;;1,89
229;5;0,358333333;;1,21
230;5,2;0,366666667;;1,71
231;5,68;0,1375;;2,56
232;5,46;-0,211666667;;2,73
233;5,43;0,19;;2,87
234;5,74;0,178333333;;3,91
235;5,64;-0,400833333;;3,97
236;5;-0,761666667;;3,59
237;4,32;-0,335;;3,57
238;4,32;-0,000833333;;4,74
239;4,22;-0,028333333;;4,62
240;4,21;-0,205;;4,85
241;3,78;-0,4975;;5,14
242;3,26;-0,600833333;;5,25
243;2,59;-0,728333333;;5,85
244;1,9;-0,461666667;;6,46
245;1,64;-0,36;;6,33
246;1,2;-0,215833333;;4,63
247;1,31;0,385;;2,36
248;1,85;0,4925;;1,35
249;2,22;0,343333333;;1,06
250;2,57;0,3875;;1,39
251;2,95;0,205833333;;2,04
